Country Code,Country,Net Trade Status,Price Control in 2021,Subsidy in 2021,Tax Reduction in 2021,Price Control in 2022,Subsidy in 2022,Tax Reduction in 2022,Price Control in 2023,Subsidy in 2023,Tax Reduction in 2023,Price Control in 2024,Subsidy in 2024,Tax Reduction in 2024,gdp data in 2020,gdp data in 2021,gdp data in 2022,gdp data in 2023,population data in 2020,population data in 2021,population data in 2022,population data in 2023,land area data in 2020,land area data in 2021,land area data in 2022,land area data in 2023,democracy index data in 2020,democracy index data in 2021,democracy index data in 2022,democracy index data in 2023
DMA,Dominica ,1,1,1,0,1,1,1,1,3,0,1,3,0,7827.74842680426,8376.40414141113,9323.66089490562,9912.96212766668,67573.0,67202.0,66826.0,66510.0,750.0,750.0,750.0,750.0,9.3,9.3,9.3,9.3
DOM,Dominican Republic ,1,1,1,0,1,2,0,1,2,0,1,2,0,7135.22273255899,8527.0754858205,10104.2449349081,10630.431743829,11008300.0,11123476.0,11230734.0,11331265.0,48198.02,48198.02,48198.02,48198.02,6.32,6.45,6.39,6.44
ECU,Ecuador ,1,1,1,0,1,2,0,1,2,0,1,2,0,5463.64515348598,6061.32350181711,6515.58528418336,6737.84748379638,17546065.0,17682454.0,17823897.0,17980083.0,248360.0,248360.0,248360.0,248360.0,6.13,5.71,5.69,5.41
EGY,Egypt,1,1,2,0,1,2,0,1,2,0,1,1,0,3511.11381026379,3827.35415374308,4233.30783744856,3456.78968456253,109315124.0,110957008.0,112618250.0,114535772.0,995450.0,995450.0,995450.0,995450.0,2.93,2.93,2.93,2.93
SLV,El Salvador ,1,1,1,0,1,1,1,1,1,0,1,1,0,3997.19279583709,4642.60743101342,5074.60210221806,5365.44491399171,6234673.0,6255782.0,6280319.0,6309624.0,20720.0,20720.0,20720.0,20720.0,5.9,5.72,5.06,4.71
GNQ,Equatorial Guinea ,1,1,2,0,1,2,0,1,2,0,1,2,0,5764.05502912947,6945.63069794539,7589.29964909381,6677.793435386,1716468.0,1758786.0,1803545.0,1847549.0,28050.0,28050.0,28050.0,28050.0,1.92,1.92,1.92,1.92
EST,Estonia ,1,0,0,1,0,0,1,0,0,1,0,0,1,23933.9939421065,27953.7670230126,28451.1477825175,30133.304450454,1329522.0,1330932.0,1348840.0,1370286.0,42750.0,42750.0,42730.0,42730.0,7.84,7.84,7.96,7.96
ETH,Ethiopia ,1,1,1,0,1,1,0,1,1,0,1,1,0,905.313159254148,910.947887074508,1011.07332413462,1272.0323857425078,118917671.0,122138588.0,125384287.0,128691692.0,1128571.4,1128505.6,1128498.8,1128498.8,3.38,3.3,3.17,3.37
FJI,Fiji ,1,1,0,0,1,0,1,1,0,1,1,0,1,4844.42127154524,4696.17103944634,5405.03006162671,5888.73667332429,914963.0,916711.0,919422.0,924145.0,18270.0,18270.0,18270.0,18270.0,5.72,5.61,5.55,5.55
FIN,Finland ,2,0,0,0,0,1,0,0,0,0,0,0,0,48828.6846862799,53099.1351400148,50440.560224974,52821.5114340717,5529543.0,5541017.0,5556106.0,5583911.0,303940.0,303947.7,303947.7,303960.0,9.2,9.27,9.29,9.3
FRA,France ,1,0,0,0,0,1,0,0,1,0,0,1,1,39169.8606000707,43725.0999521245,41082.8119320747,44690.9345395117,67601110.0,67842811.0,68065015.0,68287487.0,538950.0,538950.0,538950.0,538950.0,7.99,7.99,8.07,8.07
GAB,Gabon ,1,1,1,0,1,2,0,1,2,0,1,2,0,6605.80346077904,8181.40914134398,8409.20741452279,8071.39777400455,2322539.0,2376722.0,2430747.0,2484789.0,257670.0,257670.0,257670.0,257670.0,3.54,3.4,3.4,2.18
GMB,"Gambia, The ",1,1,3,0,1,1,1,1,1,1,1,1,0,720.335143352133,781.890925169531,836.244875582631,888.157407441902,2515733.0,2576010.0,2636470.0,2697845.0,10120.0,10120.0,10120.0,10120.0,4.49,4.41,4.47,4.47
GEO,Georgia ,1,0,1,1,0,0,0,0,0,0,0,0,0,4300.85701291207,5083.60695484577,6729.84659930283,8283.66960652261,3722716.0,3708610.0,3712502.0,3715483.0,69490.0,69490.0,69490.0,69490.0,5.31,5.12,5.2,5.2
DEU,Germany ,2,0,0,1,0,0,1,0,0,1,0,0,1,47379.765194548,52265.6541620571,49686.1154582583,53940.4073447462,83160871.0,83196078.0,83797985.0,83901923.0,349390.0,349390.0,349360.0,349430.0,8.67,8.67,8.8,8.8
GHA,Ghana ,1,0,1,0,0,1,0,0,1,0,0,1,0,2195.45481659987,2445.18662529344,2229.89122647803,2383.90410483418,31887809.0,32518665.0,33149152.0,33787914.0,227530.0,227533.0,227533.0,227533.0,6.5,6.5,6.43,6.3
GRC,Greece ,2,0,0,0,0,1,0,0,0,0,0,0,0,17886.733165236,20654.7001960815,20971.8349258283,23400.7278817691,10698599.0,10569207.0,10436882.0,10405588.0,128900.0,128900.0,128900.0,128900.0,7.39,7.56,7.97,8.14
GRD,Grenada ,1,1,1,0,1,2,1,1,1,0,1,1,1,8968.55890108484,9622.24050459345,10535.4588771454,11308.2874249451,116341.0,116688.0,116913.0,117081.0,340.0,340.0,340.0,340.0,8.9,8.9,8.9,8.9
GTM,Guatemala ,1,0,1,0,0,1,0,0,1,0,0,0,0,4477.61761796418,4912.62225721201,5358.70127494396,5758.30876298845,17357325.0,17598650.0,17847877.0,18124838.0,107160.0,107160.0,107160.0,107160.0,4.97,4.62,4.68,4.47
GUY,Guyana ,1,0,0,1,0,0,1,0,0,1,0,0,1,6775.70939096303,9860.87014834386,17913.4928066879,20473.7002190617,807481.0,815482.0,821637.0,826353.0,211140.0,211140.0,211140.0,211140.0,6.01,6.25,6.34,6.26
HTI,Haiti ,1,1,1,0,1,1,0,1,1,0,1,3,0,1290.32538667383,1835.44394078496,1760.62635668777,1705.75808460999,11243848.0,11374586.0,11503606.0,11637398.0,27560.0,27560.0,27560.0,27560.0,4.22,3.48,2.81,2.81
HND,Honduras ,1,1,1,0,1,1,1,1,1,1,1,1,1,2307.61494319511,2735.14751503977,3003.28996826399,3227.45762509776,10119640.0,10289877.0,10463872.0,10644851.0,111890.0,111890.0,111890.0,111890.0,5.36,5.1,5.15,4.98
HUN,Hungary ,1,1,1,0,1,1,0,0,0,0,0,0,0,16386.9308821258,19030.628130329,18483.6366867035,22312.1790289763,9670419.0,9630932.0,9605074.0,9592186.0,91260.0,91260.0,91260.0,91260.0,6.56,6.5,6.64,6.72
ISL,Iceland ,1,0,0,1,0,0,1,0,0,1,0,0,1,59023.5663465778,69178.4046960961,75121.0152280628,79960.0961535662,366463.0,372520.0,382003.0,393349.0,100830.0,100830.0,100830.0,100830.0,9.37,9.18,9.52,9.45
IND,India ,2,0,1,0,1,1,0,1,1,0,0,1,0,1907.04251637669,2239.61384367482,2347.44829434623,2530.12031278204,1402617695.0,1414203896.0,1425423212.0,1438069596.0,2973190.0,2973190.0,2973190.0,2973190.0,6.61,6.91,7.04,7.18
IDN,Indonesia ,1,1,1,0,1,1,0,1,1,0,1,1,0,3853.70288774146,4287.17313995098,4730.83484836107,4876.30774512252,274814866.0,276758053.0,278830529.0,281190067.0,1877519.0,1892555.47,1892555.47,1892555.47,6.3,6.71,6.71,6.53
IRN,Iran ,2,1,2,0,1,2,0,1,2,0,1,2,0,2988.78122414716,4334.79268631354,4405.09291519791,4465.63766853306,87723443.0,88455488.0,89524246.0,90608707.0,1622500.0,1622500.0,1622500.0,1622500.0,2.2,1.95,1.96,1.96
IRL,Ireland ,1,0,0,0,0,0,1,0,0,1,0,0,0,86622.5067251295,103961.976350649,105234.511567597,103887.800388081,5039747.0,5110585.0,5212836.0,5307600.0,68890.0,68890.0,68890.0,68890.0,9.05,9.0,9.13,9.19
ISR,Israel ,2,1,0,0,1,1,1,1,0,1,1,0,0,44575.5719045492,52270.9040241956,54949.621556429,52003.7200729997,9215100.0,9371400.0,9557500.0,9849000.0,21640.0,21640.0,21640.0,21640.0,7.84,7.97,7.93,7.8
ITA,Italy ,2,0,0,0,0,0,1,0,0,1,0,0,1,32091.4866621366,36852.5425414951,35653.9042103495,39065.4244365633,59438851.0,59133173.0,59013667.0,58993475.0,295717.0,295717.0,295720.0,295720.0,7.74,7.68,7.69,7.69
JAM,Jamaica ,2,0,0,0,0,1,0,0,0,0,0,0,0,4879.44025773374,5165.33782130331,6022.15339791763,6839.72502408181,2830739.0,2837682.0,2839144.0,2839786.0,10830.0,10830.0,10830.0,10830.0,7.13,7.13,7.13,7.06
JPN,Japan ,1,0,0,0,0,1,0,0,1,0,0,1,0,40028.7341726762,40094.5599795288,34065.6438962526,33836.1756271617,126261000.0,125681593.0,125124989.0,124516650.0,364500.0,364500.0,364500.0,364569.27,8.13,8.15,8.33,8.4
JOR,Jordan ,1,1,1,0,1,1,1,1,1,1,1,1,0,4022.0401356135,4183.49998326866,4332.25159897931,4466.08314208575,10865228.0,11066356.0,11256263.0,11439213.0,88794.0,88794.0,88794.0,88794.0,3.62,3.49,3.17,3.04
KAZ,Kazakhstan ,2,1,1,0,1,1,0,1,1,0,1,1,0,8781.50797787648,9983.60103576902,11255.3396437881,12879.4275257974,19482117.0,19743603.0,20034609.0,20330104.0,2699700.0,2699700.0,2699700.0,2699700.0,3.14,3.08,3.08,3.08
KEN,Kenya ,1,1,1,0,1,1,0,1,1,0,1,1,0,1927.66459027849,2061.35622089594,2109.56288513137,1952.30457929636,52217334.0,53219166.0,54252461.0,55339003.0,580876.3,580876.3,580876.3,580876.3,5.05,5.05,5.05,5.05
KOR,"Korea, South ",2,0,0,1,0,0,1,0,0,1,0,0,1,31721.2989141857,35125.5224984723,32394.6833725203,33121.3712885508,51836239.0,51769539.0,51672569.0,51712619.0,97600.0,97600.0,97600.0,97600.0,8.01,8.16,8.03,8.09
KGZ,Kyrgyz Republic ,1,0,3,0,0,3,0,0,3,0,0,3,0,1229.51766602907,1349.99730650542,1739.72018344174,2138.22210211478,6726596.0,6851224.0,6975220.0,7099750.0,191800.0,191800.0,191800.0,191800.0,4.21,3.62,3.62,3.7
LAO,Laos (LAO PDR),1,1,1,0,1,1,1,1,2,1,1,3,0,2583.77730696131,2526.05105018529,2046.40440255621,2066.94979776957,7346533.0,7453194.0,7559007.0,7664993.0,230800.0,230800.0,230800.0,230800.0,1.77,1.77,1.77,1.71
LVA,Latvia ,1,0,0,0,0,0,0,0,0,0,0,0,0,17564.2321549354,20261.8887788916,20227.2307431581,22675.5786295407,1900449.0,1884490.0,1879383.0,1877445.0,62230.0,62230.0,62230.0,62230.0,7.24,7.31,7.37,7.38
LBN,Lebanon ,1,1,1,0,1,0,0,1,0,0,1,0,0,5561.19166950397,4045.37391066234,3654.35845534878,3477.72489842684,5702398.0,5718122.0,5744489.0,5773493.0,10230.0,10230.0,10230.0,10230.0,4.16,3.84,3.64,3.56
LSO,Lesotho ,1,1,0,0,1,1,0,1,0,0,1,0,0,918.582577421982,1066.58643600093,1030.12579628833,916.282970463888,2235727.0,2261542.0,2286110.0,2311472.0,30360.0,30360.0,30360.0,30360.0,6.3,6.3,6.19,6.06
LBY,Libya ,1,1,2,0,1,2,0,1,2,0,1,2,0,6650.33810585348,4935.82787349801,5986.63694851258,6172.81246940233,7045399.0,7135175.0,7223805.0,7305659.0,1759540.0,1759540.0,1759540.0,1759540.0,1.95,1.95,2.06,1.78
LTU,Lithuania ,2,0,0,1,0,0,1,0,0,1,0,0,1,20428.6478157394,23870.4594851722,25085.784063499,27786.0057829276,2810369.0,2808380.0,2831639.0,2871585.0,62620.0,62610.0,62604.0,62600.0,7.13,7.18,7.31,7.31
LUX,Luxembourg ,1,1,0,0,1,1,0,1,1,0,1,1,0,116860.02817236,134965.815442152,123719.658915996,131407.681364513,630419.0,640064.0,653103.0,666430.0,2574.46,2574.46,2574.46,2574.46,8.68,8.68,8.81,8.81
MDG,Madagascar ,1,1,2,0,1,2,0,1,2,0,1,2,3,450.771615201509,483.469463351371,503.514533472879,508.718427705736,28953556.0,29691083.0,30437261.0,31195932.0,581800.0,581800.0,581800.0,581800.0,5.7,5.7,5.7,5.26
MWI,Malawi ,1,1,2,0,1,2,0,1,2,0,1,2,0,602.507478176106,617.447520802454,604.269751184515,602.343619809252,19533888.0,20047258.0,20568728.0,21104482.0,94280.0,94280.0,94280.0,94280.0,5.74,5.74,5.91,5.85
MYS,Malaysia ,1,1,1,0,1,1,0,1,1,0,1,1,0,9957.52626697613,10903.1116425938,11748.0919307944,11379.0851923557,33889558.0,34282399.0,34695493.0,35126298.0,328550.0,328550.0,328550.0,328550.0,7.19,7.24,7.3,7.29
MLI,Mali ,1,1,2,0,1,2,0,1,2,0,1,2,0,953.242943290974,1027.27345365357,969.72220560562,1035.86242628411,21713836.0,22388630.0,23072640.0,23769127.0,1220190.0,1220190.0,1220190.0,1220190.0,3.93,3.48,3.23,2.58
MRT,Mauritania ,1,1,2,0,1,2,0,1,2,0,1,2,0,1795.76459566714,1947.78918383313,1960.35240077424,2120.82318421747,4600131.0,4734874.0,4875637.0,5022441.0,1030700.0,1030700.0,1030700.0,1030700.0,3.92,4.03,4.03,4.14
MUS,Mauritius ,1,1,1,0,1,1,0,1,1,0,1,1,0,9011.04288445023,9068.97300226707,10223.7882316574,11182.186568616,1266014.0,1266334.0,1262523.0,1261041.0,1997.0,1997.0,1997.0,1997.0,8.14,8.08,8.14,8.14
MEX,Mexico ,1,0,0,0,0,1,1,0,0,0,0,0,1,8841.2707511328,10314.0506725979,11402.1410374782,13826.1306570122,126799054.0,127648148.0,128613117.0,129739759.0,1943950.0,1943950.0,1943950.0,1943950.0,6.07,5.57,5.25,5.14
MDA,Moldova ,1,1,0,0,1,0,0,1,0,0,1,0,0,4375.7788930524,5274.60582195352,5744.29618434435,6799.58594644576,2635130.0,2595809.0,2528654.0,2457783.0,32884.6,32890.0,32880.0,32930.0,5.78,6.1,6.23,6.23
MNG,Mongolia ,1,1,0,0,1,0,1,1,0,1,1,2,0,4001.25193077703,4517.61578018785,4993.51487463495,5838.63108083902,3327204.0,3383741.0,3433748.0,3481145.0,1557506.803,1557507.0,1557510.0,1558499.786,6.48,6.42,6.35,6.48
MNE,Montenegro,1,0,0,0,0,0,1,0,0,1,0,0,0,7612.62845881291,9377.48879714989,9990.20444616996,12077.3747094687,626590.0,625053.0,623591.0,623529.0,13450.0,13450.0,13450.0,13450.0,5.77,6.02,6.45,6.67
MAR,Morocco ,1,0,1,0,0,1,0,0,1,0,0,1,0,3268.0302734375,3785.93627929688,3455.39624023438,3771.4462890625,36584208.0,36954442.0,37329064.0,37712505.0,446300.0,446300.0,446300.0,446300.0,5.04,5.04,5.04,5.04
MOZ,Mozambique ,1,1,2,0,1,2,0,1,2,1,1,2,0,462.433876479921,509.907829475551,578.251663751351,622.985619320596,30783688.0,31707800.0,32656246.0,33635160.0,786380.0,786380.0,786380.0,786380.0,3.51,3.51,3.51,3.51
MMR,Myanmar ,1,1,2,0,1,2,0,1,1,0,1,3,0,1490.21683548367,1242.72134419599,1158.05005034332,1233.19666209269,53016522.0,53387102.0,53756787.0,54133798.0,652670.0,652670.0,652670.0,652670.0,3.04,1.02,0.74,0.85
NAM,Namibia ,1,1,1,0,1,1,1,1,1,0,1,1,0,3878.58982993966,4412.8355693052,4349.79908493314,4187.60500350786,2728762.0,2810548.0,2889662.0,2963095.0,823290.0,823290.0,823290.0,823290.0,6.52,6.52,6.52,6.52
NPL,Nepal ,1,1,1,0,1,1,0,1,1,0,1,0,0,1154.21517578318,1252.75076731986,1385.91066274851,1382.33055769304,28966574.0,29475010.0,29715436.0,29694614.0,143350.0,143350.0,143350.0,143350.0,5.22,4.41,4.49,4.6
NLD,Netherlands ,2,0,0,0,0,0,1,0,0,1,0,0,1,53467.9277413737,60141.9880911492,59123.318556487,64572.0059558854,17441500.0,17533044.0,17700982.0,17877117.0,33670.0,33670.0,33670.0,33670.0,8.96,8.88,9.0,9.0
NZL,New Zealand ,1,0,0,0,0,0,1,0,0,1,0,0,0,41850.92032802,49689.498134519,48760.0381935936,48654.904227478,5090200.0,5111300.0,5117100.0,5245000.0,263310.0,263310.0,263310.0,263310.0,9.25,9.37,9.61,9.61
NIC,Nicaragua ,1,1,2,0,1,2,0,1,2,0,1,2,0,1938.44704754382,2138.38588469449,2322.89053964583,2609.44492072931,6565267.0,6644741.0,6730654.0,6823613.0,120340.0,120340.0,120340.0,120340.0,3.6,2.69,2.5,2.26
NER,Niger ,1,1,2,0,1,2,0,1,2,0,1,2,0,579.512495758236,608.722439593808,609.745147661683,638.336080723299,23717613.0,24502140.0,25311973.0,26159867.0,1266700.0,1266700.0,1266700.0,1266700.0,3.29,3.22,3.73,2.37
NGA,Nigeria ,1,1,2,0,1,2,0,1,1,0,0,0,0,2019.65706326224,2017.27486481527,2139.37478476974,1596.63696129001,213996181.0,218529286.0,223150896.0,227882945.0,910770.0,910770.0,910770.0,910770.0,4.1,4.11,4.23,4.23
